StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q3,Q4,Q4_1_TEXT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q7,Q8,Q9,Q9_7_TEXT,Q10
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,"Mentee id (Please use us the first two digits of your street address, and then the first letter of mentee's first name and last 3 letters of their last name. For example, if you live at 1203 Hill Street and your mentee is Bill Smith, the id would be: 12BITH)",Date of first meeting - Selected Choice,Date of first meeting - MM/DD/YYYY - Text,"How many people attended the first meeting, not counting mentor(s)?",Does the mentee participant currently... - use a personal budget or spending plan?,Does the mentee participant currently... - track their expenses?,Does the mentee participant currently... - have trouble paying bills on time?,Does the mentee participant currently... - worry about their debt level?,"Does the mentee participant currently... - have money set aside for expenses in case of sickness, job loss, or other emergencies?","Does the mentee participant currently... - save regularly for a long-term goal such as homeownership, retirement or college education?",What is important to the mentee participant to do first? (What is their immediate goal?),What is another financial goal of the mentee?,When do you plan to meet again? - Selected Choice,When do you plan to meet again? - Comments - Text,"Thank you for taking the time to provide this information. If you have additional comments, please share below."
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_1_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_7_TEXT""}","{""ImportId"":""QID12_TEXT""}"
5/3/2018 14:21,5/3/2018 14:21,1,100,30,1,5/3/2018 14:21,R_3G3xexVr2GfNAEh,,,,,,,,,,,,,,,
5/3/2018 14:29,5/3/2018 14:29,1,100,8,1,5/3/2018 14:29,R_6ojQsuJPEP0pqM1,,,,,,,,,,,,,,,
12/3/2018 16:17,12/3/2018 16:19,1,100,91,1,12/3/2018 16:19,R_5hB8Zi1aA40sBhf,,,,,1,1,,,,,,,3,,
12/6/2018 11:43,12/6/2018 11:46,0,100,220,1,12/6/2018 11:46,R_3FKd5w1y0n6MxUi,30MOWN,1,12/5/2018,1,1,2,2,1,1,2,Reduce their debt,Improve their credit score,4,,
12/6/2018 19:06,12/6/2018 19:10,0,100,261,1,12/6/2018 19:10,R_1lp0WaSOT5AU50n,21HAPO,1,9/10/2018,,2,2,1,1,2,2,Wants to consolidate credit card debts to a single card with a lower interest rate,pay off credit cards,1,,
12/19/2018 15:01,12/19/2018 15:01,0,18,9,0,12/26/2018 15:01,R_rcgAdmIC6VLKu8p,,,,,,,,,,,,,,,
12/19/2018 18:58,12/19/2018 18:59,0,18,104,0,12/26/2018 19:00,R_SBLg6P6vMd9b3Gh,,,,,,,,,,,,,,,
1/11/2019 15:54,1/11/2019 16:01,0,100,414,1,1/11/2019 16:01,R_3oFaWpD6wdho7rL,19maond,1,1/7/2019,1,,,,,2,2,Open a savings account,,"1,7",She is supposed to call me after she’s checked into savings accounts. ,
1/26/2019 10:35,1/26/2019 10:36,0,100,69,1,1/26/2019 10:36,R_1jqaTxjDT4SKdiR,,,,,,,,,,,,,,,
1/30/2019 11:59,1/30/2019 12:24,0,100,1523,1,1/30/2019 12:24,R_2ZJgMT8xzGK3A44,21Rley,1,8/23/2018,1,2,2,2,1,2,2,Buying a home,Pay off her student loan,2,,"Her main goal is to buy a 4 bdr & 2bth house with a yard for the dog.  She plans to move her 67(?) Year old parents from Santa Barbara, CA to Champaign to live with her family. She is having difficult with the Savoy landlord as they will not fix the water pipes and she is paying the bill.  Does not like renting here as she says the property owner will not fix problems. "
1/30/2019 12:25,1/30/2019 12:44,0,100,1148,1,1/30/2019 12:44,R_1OwR4JoEB3JkKzy,21Wson,1,10/11/2018,1,2,2,2,2,1,,Become Pre-approved for a home loan,Understand why Wells Fargo would not issue him a credit card,6,,"See above comments.  Sorry I typed on the wrong line. He is now on his way--next time i will type in the correct box. She had  previously worked with him, but was out of town the day he returned to the office.  However, she had helped him apply for a credit report.  I arraned an appointment with s.o. who strighten out some errors in his credit report and got him pre-approved for a FHA home loan. He is now a happy mentee. "
1/30/2019 12:45,1/30/2019 12:52,0,100,435,1,1/30/2019 12:52,R_12R7iHetrfBmmQp,21CLER,1,12/14/2018,1,1,1,1,1,2,2,Pay off a very large multiple credit card debts!,Stop using credit cards and carry cash.,4,,"Even though she makes 100 K per year, She has 144,000 in credit card debt.  Wonders if she should sell her house."
2/5/2019 14:37,2/5/2019 14:48,0,100,654,1,2/5/2019 14:48,R_ZDha6gNm48cY2D7,21JITH,1,2/5/2019,1,1,1,2,1,1,1,Stabilize and understand the amount of his retirement benefits,Set aside finds for eventual retirement,"5,7",Mentee has developed his own spending plan and is currently tracking both income and expenses. Plansto move into Winfield village a cooperative housing structure and move out of university rental housing by the airport. This guy would be a good Mentor if he did not like to talk so much.  Really needed some reinforcement for his money management activity. ,Wish all Mentees were this easy.  How do i print these comments for my file or access them in the future?
2/8/2019 7:18,2/8/2019 7:21,0,100,213,1,2/8/2019 7:21,R_2dMExxDQ9N8vHZ8,11SPRE,1,1/6/2019,2,2,2,1,1,2,2,Stop overdrawing checking account,Track expenses,7,"Mentee requested to meet again on February 24, 2019",
2/10/2019 17:32,2/10/2019 17:35,0,100,155,1,2/10/2019 17:35,R_214kde5wHTcIYG0,2306BELL,1,2/10/2019,2,1,1,2,1,1,2,Buy a house,"Pay off their debts (cars, credit card, student loans)",4,,
2/12/2019 16:08,2/12/2019 16:21,0,18,831,0,2/19/2019 16:22,R_1IhYJgRJHy0iABb,,,,,,,,,,,,,,,
2/23/2019 23:19,2/23/2019 23:22,0,100,214,1,2/23/2019 23:22,R_1GJII9l3ZWUTuA9,18asle,1,2/23/2019,2,2,2,1,1,2,2,Track income expenses,Pay off debt,4,,
2/25/2019 13:30,2/25/2019 13:30,0,18,27,0,3/4/2019 13:31,R_2WvSeAFZPVeT6r2,,,,,,,,,,,,,,,
2/26/2019 12:30,2/26/2019 12:30,0,18,9,0,3/5/2019 12:30,R_2zpzvfXLJkXV3XZ,,,,,,,,,,,,,,,
2/27/2019 13:48,2/27/2019 13:51,0,55,146,0,3/6/2019 14:00,R_qQ4foCM97MxsyGZ,,,,,,,,,,,,,,,
3/4/2019 14:51,3/6/2019 16:59,0,100,180500,1,3/6/2019 16:59,R_1i864gm9Zq5bDUM,19dacru,1,3/5/2019,1,2,2,1,1,2,2,Learn how to budget,cut food costs and pay off debts,2,,She is going to record one weeks spending on gas and food. She will email me about how that went.
3/11/2019 9:55,3/11/2019 9:56,0,100,62,1,3/11/2019 9:56,R_9WsYYK1fyDLD6ed,80LETH,1,3/7/2019,1,2,2,2,1,2,2,Pay down debt,Build a consistent savings plan,1,,
3/17/2019 11:36,3/17/2019 11:36,0,18,16,0,3/24/2019 11:36,R_ReiKwWRynqGJcad,,,,,,,,,,,,,,,
4/4/2019 12:55,4/4/2019 12:59,0,100,247,1,4/4/2019 12:59,R_tXsj2PsniEibSbn,12Jley,1,4/4/2019,1,2,2,1,1,2,2,Pay down debt,Creat a budget to see where the money is going,1,,Mentee feels lost in handling money and has had no one to help in the past.  Very grateful to be getting some guidance.
4/12/2019 8:13,4/12/2019 8:16,0,100,182,1,4/12/2019 8:16,R_3iJd94M1J9A1FkN,12DAELL,1,10/11/2018,1,,,,,,,Cut out frivolous spending,Pay off debt,6,,
5/3/2019 11:14,5/3/2019 11:17,0,100,154,1,5/3/2019 11:17,R_3FRkJKwnpTxUQnJ,11KOSE,1,4/28/2019,1,2,2,2,1,2,2,Set up a budget and track expenses,Pay down debt,5,,
5/13/2019 13:14,5/13/2019 13:14,0,18,16,0,5/20/2019 13:15,R_puwQsL8URmd1z2h,,,,,,,,,,,,,,,
5/27/2019 11:34,5/27/2019 11:34,0,18,12,0,6/3/2019 11:35,R_1psRBMiIqIRhRDZ,,,,,,,,,,,,,,,
6/5/2019 14:03,6/5/2019 14:10,0,100,412,1,6/5/2019 14:10,R_2asn1Y5mV6UktrQ,00MCHR,1,5/29/2019,1,2,1,2,1,,1,Student loans,Buying a home,1,,
6/5/2019 14:11,6/5/2019 14:16,0,100,257,1,6/5/2019 14:16,R_Ddz03YdaHnFhz3P,00MGAL,1,5/15/2019,1,2,2,,1,,,Debt collection issues,Credit score,"6,7",Will signup to meet with mentor,
6/13/2019 11:20,6/13/2019 11:25,0,100,300,1,6/13/2019 11:25,R_2ZPqOo7XOiXDSFM,60KOKS,1,6/12/2019,3,2,2,2,2,2,2,Begin tracking monthly expense,"Saving for future, unexpected expenses, and later retirement",2,,
6/25/2019 15:22,6/25/2019 15:26,0,100,213,1,6/25/2019 15:26,R_2wBrueTnAxleCg3,30CCHS,1,6/25/2019,1,1,1,2,1,2,2,Debt reduction,Saving for son's first college payment,4,,
6/28/2019 10:38,6/28/2019 10:41,0,100,185,1,6/28/2019 10:41,R_2AXAHIL5zWXjTi0,93KNCE,1,6/27/2019,1,2,2,1,1,2,2,Put a budget in place,Save (emergency fund),2,,
7/3/2019 9:51,7/3/2019 9:53,0,100,88,1,7/3/2019 9:53,R_1MYwwVA9UkHlkXO,,,,,,,,,,,,,,,
7/3/2019 15:09,7/3/2019 15:12,0,100,200,1,7/3/2019 15:12,R_1DoIPviVsDo0l1O,30MKER,1,7/3/2019,1,1,1,2,1,2,2,Find a way to live only on Social Security income until a future surgery helps her current medical issue,Be able to work part-time,"6,7",She filled out a mentee signup form,
7/3/2019 15:13,7/3/2019 15:17,0,100,233,1,7/3/2019 15:17,R_3syqlYBqm7h741u,30GALK,1,7/3/2019,1,2,2,1,1,2,2,Find a way to eliminate problem of not being able to pay all their bills,Start tracking how they spend their money so as to reduce overall debt,"6,7",Filled out a mentee signup form,
7/8/2019 12:48,7/8/2019 12:55,0,100,470,1,7/8/2019 12:55,R_1FxrNb8tZiZMksl,21WION,1,12/26/2018,1,2,2,,,,2,Wanted to be financially secure,"Set aside a large chunk of money for emergencies (say $10,000)",4,,"I provided some materials to help him track expenses and we set a goal of setting aside $1,000/month. I have no idea if that was a feasible goal."
7/2/2019 11:06,7/2/2019 11:06,0,18,11,0,7/9/2019 11:06,R_3pnC0u8lttmr6I0,,,,,,,,,,,,,,,
7/9/2019 16:29,7/9/2019 16:35,0,100,366,1,7/9/2019 16:35,R_3FLtyVQHoENI5gr,,,,,,,,,,,,,,,
7/9/2019 16:35,7/9/2019 16:39,8,100,230,1,7/9/2019 16:39,R_22JNpyMqUtSY96O,,,,,,,,,,,,,,,
7/9/2019 16:39,7/9/2019 17:53,0,100,4402,1,7/9/2019 17:53,R_eIMQWut7sULxOG5,,,,,,,,,,,,,,,
7/9/2019 17:53,7/10/2019 19:04,0,100,90657,1,7/10/2019 19:04,R_3nixQiKXOj8x0Wz,,,,,,,,,,,,,,,
7/3/2019 21:47,7/3/2019 21:48,0,55,86,0,7/10/2019 21:49,R_3Ms325yHp2SJ1JD,,,,,,,,,,,,,,,
7/4/2019 16:21,7/4/2019 16:21,0,18,14,0,7/11/2019 16:22,R_25Gjv9JTinfT3Mq,,,,,,,,,,,,,,,
7/10/2019 19:04,7/13/2019 18:04,0,100,255625,1,7/13/2019 18:04,R_12tCOVZYaBXjxdW,,,,,,,,,,,,,,,
7/13/2019 18:05,7/13/2019 18:10,0,100,349,1,7/13/2019 18:10,R_1NaBKZNSY1cnXD1,61twho,1,6/23/2018,2,1,1,2,1,2,2,Budgeting and Money Management ,school loan Debt Repayment ,7,"Wanted to meet again, but shifting work schedule, and child care delayed setting up meeting.","Mentee wanted a check on their financial situation. They had just had a large boost in income from a new job. They do not save for long term goals yet, but do pay mortgage."
7/13/2019 18:17,7/13/2019 18:18,8,100,49,1,7/13/2019 18:18,R_0UFqRBMiBiS5mZb,,,,,,,,,,,,,,,
7/13/2019 18:18,7/13/2019 18:18,8,100,19,1,7/13/2019 18:18,R_3PBrEvEapA4Fq6v,,,,,,,,,,,,,,,
7/13/2019 18:30,7/13/2019 18:32,0,100,121,1,7/13/2019 18:32,R_1FDMNNPf4Oe25Lk,61skan,1,11/13/2018,1,2,2,2,1,2,2,"Budgeting, ",Using a credit card for the first time.,2,,
7/13/2019 18:56,7/13/2019 18:59,0,100,208,1,7/13/2019 19:00,R_24iQSyzhfXFAkBB,61smc,1,1/14/2019,1,2,2,2,2,1,1,Cost of medical insurance for a long-term sailing trip w/o an earned income.,Deal with estate of recently passed relative. This goal came up near the end of our mentoring,4,,"Mentee has a frugal lifestyle and lives well beneath their means.  They have no debt, and currently continue to save for their long term goal."
7/8/2019 12:56,7/8/2019 12:56,0,18,26,0,7/15/2019 12:56,R_xFwdCCxw85CVlFD,,,,,,,,,,,,,,,
7/16/2019 15:07,7/16/2019 15:12,0,100,296,1,7/16/2019 15:12,R_3MSTrr1CgMmINTN,,,,,,,,,,,,,,,
7/16/2019 16:30,7/16/2019 16:34,0,100,271,1,7/16/2019 16:34,R_2ctNPXMhXIEerB5,10DZAN,1,3/19/2019,1,2,1,1,1,2,2,How to pay off debts,Budgeting,2,,
7/16/2019 16:34,7/16/2019 16:35,0,100,50,1,7/16/2019 16:35,R_1CwhQsFToqILmNm,,,,,,,,,,,,,,,
7/18/2019 10:16,7/18/2019 10:17,0,100,90,1,7/18/2019 10:17,R_2wSsCPInBl0YuCt,,,,,,,,,,,,,,,
7/11/2019 13:02,7/11/2019 13:03,0,18,7,0,7/18/2019 13:03,R_1Flb8bUD2OxQ7GX,,,,,,,,,,,,,,,
7/13/2019 18:11,7/13/2019 18:14,0,18,163,0,7/20/2019 18:14,R_3oNsXXS33PW3iX3,,,,,,,,,,,,,,,
7/13/2019 18:39,7/13/2019 18:54,0,18,925,0,7/20/2019 18:54,R_11bVwVX57RXYMUZ,,,,,,,,,,,,,,,
7/23/2019 10:03,7/23/2019 10:21,0,100,1075,1,7/23/2019 10:21,R_1PRxQYohsyF4Zpl,25KOEG,1,7/23/2019,3,2,2,2,1,2,2,Organizing Finances; Tracking expenses,Debt repayment,1,,
7/23/2019 12:54,7/23/2019 13:00,0,100,376,1,7/23/2019 13:00,R_1hMzo00FnO7DOW6,29ASENS,1,7/23/2019,1,2,2,2,2,1,2,Get budget in place,Build emergency fund and savings.  Build credit.,"2,7","actually, 1.5 weeks","Meeting went very well.  The mentee is already on the path to creating a budget.  But, due to personal circumstances, some information may not be available for a couple months."
7/16/2019 16:36,7/16/2019 16:36,0,18,9,0,7/23/2019 16:36,R_3D1K1wZSVgO8ugh,,,,,,,,,,,,,,,
7/18/2019 10:18,7/24/2019 20:45,0,100,556042,1,7/24/2019 20:45,R_2SDJx2MvZD7Yxw3,,,,,1,1,2,1,2,2,Come up with a spending plan.,They want to pay down debt and learn about saving for retirement.,"1,7",The mentees are very excited about getting their finances in order.,
8/7/2019 14:33,8/7/2019 14:39,0,100,375,1,8/7/2019 14:39,R_1gbTl6oYU3B9JuM,11KATH,1,4/28/2019,1,2,2,1,1,2,2,Have enough money to move into own apartment,Pay off debt,6,,
8/7/2019 14:39,8/7/2019 14:41,0,100,147,1,8/7/2019 14:41,R_1NEnZHwW65s5bD4,11SPRE,1,1/5/2019,2,2,2,1,1,2,2,Track expenses,Save for vacation,6,,"We met for a second time on February 24, 2019. At that meeting, we scheduled another for March, but the mentee canceled the March meeting and does not wish to continue. "
8/8/2019 20:43,8/8/2019 20:53,0,100,560,1,8/8/2019 20:53,R_3nvzV40dmUG37UM,16MKER,1,8/8/2019,1,1,,,1,2,2,Marilyn's immediate goal is to pay off credit card debt.,To rebuild savings and have extra monies for participation in social activities and give gifts to family.,2,,
